id,userid,password,residence_state,high_school,high_school_name,high_school_city,high_school_state,major_1,major_2,GPA,college_class,ACT_english,ACT_math,ACT_reading,ACT_science,ACT_composite,SAT_math,SAT_EBRW,SAT_literature,SAT_US_hist,SAT_world_hist,SAT_math_I,SAT_math_II,SAT_eco_bio,SAT_mol_bio,SAT_chemistry,SAT_physics,num_AP_passed
5172,lrobinson,QITjAaUT8mTK,TX,2,St. Mark's School of Texas,Dallas,TX,Automobile/Automotive Mechanics Technology/Technician,"Forestry, Other",3.38,2023,22,14,12,25,25,800,424,638,696,698,551,800,486,607,567,658,1
5171,hbest,aGOCXkXhB6G4iVyPNN69,MN,179,Mounds Park Academy,St. Paul,MN,Computational Biology,Fire Science/Fire-fighting,3.07,2023,26,20,27,8,14,461,596,582,551,568,689,730,572,766,606,726,5
5170,donna18,EWdfVBJjdTk90,CA,172,Pacific Ridge School,Carlsbad,CA,Forest Management/Forest Resources Management,Computational Mathematics,2.69,2024,23,24,24,15,25,554,703,595,595,583,569,759,659,506,666,539,1
5169,meghanmiller,60Sr5wcrTvKjcG,PA,153,Shady Side Academy,Pittsburgh,PA,Commercial and Advertising Art,"Ethnic, Cultural Minority, Gender, and Group Studies, Other",3.72,2024,33,18,16,10,17,400,451,568,793,747,509,739,745,771,800,800,5
5168,smithjames,ObLZyDMg6l,NJ,132,OCVTS - Marine Academy of Technology & Environmental Science (MATES),Manahawkin,NJ,Engineering Science,Aeronautical/Aerospace Engineering Technology/Technician,2.94,2024,19,17,16,21,29,612,400,536,712,664,800,755,782,656,800,588,9
5167,bentleydavid,kt467Blqq,PA,73,Germantown Friends School,Philadelphia,PA,Construction Engineering,Environmental Health,3.83,2025,23,21,15,21,19,513,404,630,593,538,599,745,551,800,695,678,5
5166,gschmidt,V6yIel4x,NY,47,Riverdale Country School,Bronx,NY,"Electrical, Electronics and Communications Engineering, Other","Aeronautics/Aviation/Aerospace Science and Technology, General",3.04,2028,14,25,29,21,28,402,525,714,523,413,663,699,727,713,645,586,0
5165,erica60,6a1ycqyTScW,OR,166,Oregon Episcopal School,Portland,OR,Crisis/Emergency/Disaster Management,Fashion Merchandising,2.86,2024,17,11,22,23,19,506,487,800,664,581,624,629,577,575,467,641,6
5164,glovernatalie,4Sb86fC9VKBGW,CA,112,Woodside Priory School,Portola Valley,CA,Architectural Engineering Technology/Technician,"Business Administration and Management, General",2.78,2027,9,31,22,23,16,497,689,533,745,622,751,634,688,713,613,680,4
5163,wcurry,8lP6Sem9,MD,189,Landon School,Bethesda,MD,Conservation Biology,"Fine Arts and Art Studies, Other",1.84,2026,17,21,24,25,19,494,751,573,456,750,655,766,728,800,554,800,8
5162,hwilliams,J9kAu9pg7c,TX,84,School of Science & Engineering,Dallas,TX,"Human Resources Management/Personnel Administration, General",Forensic Science and Technology,1.81,2025,26,15,18,26,27,734,458,676,593,515,469,716,523,593,714,545,3
5161,brandondavis,5PdhZDoFBChcc,NY,95,Packer Collegiate Institute,Brooklyn,NY,Health Services Administration,Information Technology,3.55,2027,22,16,17,14,15,490,654,660,800,800,640,661,601,625,620,678,8
5160,greenrandall,ArH2v0QuDhcedje4v19Q,MA,33,Winsor School,Boston,MA,Liberal Arts and Sciences/Liberal Studies,Autobody/Collision and Repair Technology/Technician,2.97,2026,19,18,24,27,21,548,688,732,624,539,639,676,651,800,791,626,2
5159,garycampbell,4vG7I5TMsBlliD3v,IL,22,Illinois Mathematics and Science Academy,Aurora,IL,"Foreign Languages, Literatures, and Linguistics, Other",Bilingual and Multilingual Education,2.62,2025,25,15,24,24,23,683,460,554,550,634,658,682,709,662,631,648,1
5158,ncastro,Bex9bqwZOtxaYGB,IL,22,Illinois Mathematics and Science Academy,Aurora,IL,"Genetics, General","Applied Mathematics, Other",3.73,2024,30,30,17,30,24,533,571,598,657,582,466,783,554,608,640,647,3
5157,bjohnson,zRrI6Iix,CT,64,Hopkins School,New Haven,CT,"Engineering Technologies and Engineering-Related Fields, Other","Health Services/Allied Health/Health Sciences, General",2.82,2023,17,17,16,23,30,643,620,557,711,445,800,569,490,800,721,627,3
5156,phernandez,123BlfAGaYJgp,MA,3,Phillips Academy,Andover,MA,"Applied Mathematics, General",CAD/CADD Drafting and/or Design Technology/Technician,2.70,2023,22,20,8,25,21,484,504,578,723,510,510,761,605,774,616,635,0
5155,bruce26,Jv0HUH7iMc8ms,CA,54,Head-Royce School,Oakland,CA,"Applied Mathematics, General","Dance, General",2.98,2028,13,25,22,17,20,574,419,621,740,731,593,707,577,665,595,400,4
5154,marc43,MVwDvAKn4f6UpNskn,CA,103,BASIS Independent Silicon Valley,San Jose,CA,Business Statistics,"Applied Mathematics, General",2.74,2025,12,18,22,27,23,562,536,800,768,770,653,648,514,524,752,668,9
5153,fernandezmary,805ErW2Z,NY,151,Marymount School of New York,New York,NY,Dairy Science,Clinical Laboratory Science/Medical Technology/Technologist,3.35,2027,13,16,13,18,20,632,508,601,525,549,400,784,595,790,677,797,3
5152,ostone,TF5pHXaaFX0cApoEdxMm,WA,65,The Overlake School,Redmond,WA,Biological/Biosystems Engineering,Junior High/Intermediate/Middle School Education and Teaching,3.00,2027,20,9,31,17,20,688,629,487,711,685,649,662,636,721,651,676,2
5151,mcclurecharles,9NAOry24,MA,24,Deerfield Academy,Deerfield,MA,Accounting and Finance,"Dietetics and Clinical Nutrition Services, Other",2.55,2026,20,15,11,19,16,577,533,469,564,599,478,684,738,643,720,617,10
5150,nicholaspratt,1Cd1X4gv1UGXhNQiEJS,VA,50,Maggie Walker Governor's School,Richmond,VA,Audiology/Audiologist,Information Technology,3.09,2026,16,15,22,22,20,519,590,498,800,545,586,678,800,576,730,615,1
5149,yrosales,pK6I1VdYUSu0kZB1EuPD,CA,178,Saratoga High School,Saratoga,CA,"Clinical/Medical Laboratory Science and Allied Professions, Other",German Language and Literature,2.69,2026,17,16,18,23,14,612,665,596,644,457,591,729,595,541,795,441,6
5148,rlloyd,GrGF4hdl5,OH,180,Hathaway Brown School,Shaker Heights,OH,"Business Administration, Management and Operations, Other",Illustration,2.55,2023,15,26,30,21,17,403,400,455,667,734,476,684,519,622,573,793,2
5147,anna62,3AQdWJfeAC1g,CA,16,Flintridge Preparatory School,La Canada Flintridge,CA,"Electrical, Electronic and Communications Engineering Technology/Technician","Finance, General",3.04,2025,16,21,29,36,20,477,422,733,681,521,698,677,646,596,679,731,0
5146,starklaura,6cZlNDwwRuBfkDQriK,NH,1,Phillips Exeter Academy,Exeter,NH,Forest Sciences and Biology,"Computer and Information Sciences and Support Services, Other",3.08,2025,33,19,17,17,24,413,480,552,638,533,593,595,664,651,595,752,6
5145,nguyenroberto,R8tmdPQfKoar,CA,91,The Branson School,Ross,CA,Agronomy and Crop Science,Accounting,2.20,2025,28,20,11,22,9,461,573,557,650,476,686,745,573,679,740,550,0
5144,jamescontreras,PvrqLBbnr07,NY,88,Hackley School,Tarrytown,NY,Health/Medical Physics,Cytotechnology/Cytotechnologist,2.79,2026,32,17,19,19,17,525,594,661,606,429,569,677,626,800,669,608,3
5143,vvalencia,YXNlGSfAn1OSqIRESN,CA,56,The Bishop's School,San Diego,CA,Athletic Training/Trainer,Geophysics and Seismology,3.33,2027,27,25,20,10,4,634,547,623,629,628,800,765,463,707,503,521,6
5142,adennis,72UyMjm8gNNZNSD3Nkvy,NH,18,St. Paul's School,Concord,NH,Aeronautical/Aerospace Engineering Technology/Technician,"Atmospheric Sciences and Meteorology, General",2.64,2024,17,24,17,22,25,606,553,566,794,734,499,777,690,493,620,679,1
5141,andrew62,tpeAbOts9jQ09vO8e,NY,143,Avenues: The World School,New York,NY,Ancient/Classical Greek Language and Literature,Computer Engineering Technology/Technician,3.21,2023,19,21,30,27,35,558,400,468,750,786,752,800,567,666,569,400,10
5140,jeffrey15,T4EwFs4oBKQqXvqux6R1,NJ,85,Peddie School,Hightstown,NJ,American Indian/Native American Studies,"Ethnic, Cultural Minority, Gender, and Group Studies, Other",2.84,2024,21,25,20,23,14,499,400,637,554,800,518,739,764,645,589,757,1
5139,brownmichele,HuKbQ3Fiaaw6AgoO30Y,NJ,132,OCVTS - Marine Academy of Technology & Environmental Science (MATES),Manahawkin,NJ,"General Merchandising, Sales, and Related Marketing Operations, Other",Industrial Technology/Technician,3.02,2026,3,22,23,17,20,582,445,593,677,654,566,672,609,511,457,767,4
5138,tmaynard,Ce1U61NmokLkPyTV1,CA,106,The Urban School of San Francisco,San Francisco,CA,Applied Economics,Fine and Studio Arts Management,2.84,2027,28,15,19,20,19,400,508,574,756,661,787,800,583,582,679,585,4
5137,herrerachristopher,OLjhyr5sxr6WvMr,AZ,51,BASIS Scottsdale,Scottsdale,AZ,"Business Administration, Management and Operations, Other","Architecture and Related Services, Other",2.45,2024,18,24,29,24,20,674,567,709,597,400,550,721,594,751,651,603,2
5136,jennifer98,15y5K4xZQ5WKT5,NH,18,St. Paul's School,Concord,NH,Keyboard Instruments,Early Childhood Education and Teaching,2.88,2023,13,22,13,22,15,400,573,623,665,627,663,770,592,604,800,622,1
5135,rgonzales,72OGQufvb,CA,54,Head-Royce School,Oakland,CA,Culinary Arts/Chef Training,Foodservice Systems Administration/Management,2.93,2024,21,20,16,31,28,566,576,535,558,587,800,750,518,605,692,800,10
5134,perezpeggy,vErPKgt08UdHBnmyh,TX,101,Liberal Arts & Science Academy,Austin,TX,"Business, Management, Marketing, and Related Support Services, Other",Computer Science,2.83,2023,21,27,26,9,23,611,610,649,687,668,641,639,693,572,672,783,6
5133,kelli85,unCPJvNP1B45gMn21O,NJ,85,Peddie School,Hightstown,NJ,Agricultural and Extension Education Services,"Classics and Classical Languages, Literatures, and Linguistics, General",3.27,2026,29,24,30,31,19,400,420,564,707,608,549,589,686,695,518,622,1
5132,umonroe,251KtWoVMc,NY,42,Rye Country Day School,Rye,NY,"Hospitality Administration/Management, General",American/United States Studies/Civilization,2.91,2025,20,29,29,10,23,688,523,458,543,800,607,704,563,606,800,696,7
5131,taylormoran,Jk9Z4gXgy25,TX,124,The Kinkaid School,Houston,TX,"Clinical/Medical Laboratory Science and Allied Professions, Other",Bioethics/Medical Ethics,2.92,2028,20,21,29,19,13,537,536,586,796,618,622,660,572,475,580,708,4
5130,zachary94,Jl2UwK5s3ri6MDRT3H3,GA,61,The Westminster Schools,Atlanta,GA,Chemical Physics,"Computer and Information Sciences, General",3.35,2026,5,21,12,16,24,416,621,554,800,800,756,790,603,759,738,733,4
5129,greggreed,0sbIXUfjvMnI9Eb,CA,111,Lick-Wilmerding High School,San Francisco,CA,"Architecture and Related Services, Other","Aeronautics/Aviation/Aerospace Science and Technology, General",3.26,2027,17,26,24,5,20,611,518,545,584,800,505,663,654,685,592,747,0
5128,millerlisa,Vm9JxWuDVvbbj9VA,WA,14,Lakeside School,Seattle,WA,Geological/Geophysical Engineering,Food Science,3.34,2025,21,13,26,15,22,640,628,588,632,800,746,800,672,695,473,670,1
5127,vargasdaisy,uB66AVArDIX9B2uH,CT,17,The Hotchkiss School,Lakeville,CT,Forensic Science and Technology,Culinary Arts/Chef Training,3.15,2026,22,26,27,12,21,510,484,762,746,655,532,649,461,579,659,747,5
5126,moralesjohnathan,M0DYFfWmNod9DA,NY,154,Friends Seminary,New York,NY,Forest Management/Forest Resources Management,"Marketing/Marketing Management, General",2.57,2024,26,10,31,27,27,400,478,423,688,690,634,638,423,496,771,773,7
5125,jholmes,F68dzxvfgqZ1wULiy,CA,31,Marlborough School,Los Angeles,CA,Information Science/Studies,"Business/Commerce, General",3.25,2026,28,18,13,24,21,501,605,467,623,692,490,716,447,795,615,657,9
5124,taramurillo,4LZ78GnyE1zmvaXl,CA,111,Lick-Wilmerding High School,San Francisco,CA,Computational Biology,American Sign Language (ASL),3.66,2028,20,26,23,24,22,607,527,469,614,624,573,677,527,710,551,689,1
5123,michael67,H1FXblQdR,TX,87,Greenhill School,Addison,TX,Applied Economics,Information Science/Studies,3.33,2028,24,17,26,26,27,400,505,682,639,465,535,545,605,689,552,495,0
5122,rosariojesus,CG0klrvrtzRZ2VX,VA,21,Thomas Jefferson High School for Science & Technology,Alexandria,VA,Journalism,"Geography, Other",3.40,2025,21,23,26,12,26,501,480,756,702,593,407,607,583,731,441,800,10
5121,imurray,dZ2AzDWup,NY,78,Staten Island Technical High School,Staten Island,NY,Digital Communication and Media/Multimedia,Bible/Biblical Studies,3.33,2025,27,21,36,21,12,656,526,443,788,430,585,663,788,746,800,725,2
5120,erincampbell,lykXfl6qM2l,NJ,132,OCVTS - Marine Academy of Technology & Environmental Science (MATES),Manahawkin,NJ,Gerontology,Christian Studies,3.04,2028,14,24,22,13,31,588,640,586,660,649,545,765,650,776,561,580,10
5119,joneskaren,R1cWZ3TVBqMfu,IL,57,Northside College Preparatory High School,Chicago,IL,Agroecology and Sustainable Agriculture,"Agriculture, Agriculture Operations, and Related Sciences, Other",3.20,2023,25,13,33,16,12,691,582,798,764,735,517,640,558,666,575,800,4
5118,gwelch,i26igX0r5hIBp02,MD,89,Holton-Arms School,Bethesda,MD,"Computer Engineering, General",Health Information/Medical Records Technology/Technician,2.93,2024,16,20,23,23,31,566,623,668,534,698,679,699,598,668,787,641,6
5117,mmeyer,s442B71ace,NY,164,The Green Vale School,Glen Head,NY,Advertising,"Educational Leadership and Administration, General",2.41,2027,20,12,18,19,19,620,546,566,654,464,431,672,764,682,534,631,0
5116,sarah04,npOva7rpHsECPqa51,NY,42,Rye Country Day School,Rye,NY,"Economics, Other",Army JROTC/ROTC,3.16,2024,20,26,28,12,12,636,494,517,800,671,507,627,573,684,647,708,8
5115,emily74,2tlmOt0u4J,CT,139,Greenwich Academy,Greenwich,CT,Bible/Biblical Studies,Electromechanical Technology/Electromechanical Engineering Technology,2.72,2028,28,16,7,26,26,696,616,594,541,757,476,645,400,766,748,521,7
5114,benjaminblevins,cTZ3EvKh3St,MA,24,Deerfield Academy,Deerfield,MA,American History (United States),"Business, Management, Marketing, and Related Support Services, Other",3.78,2025,31,20,31,15,26,651,562,507,570,657,571,509,733,792,577,669,9
5113,michaelfernandez,1Kz5irctjHT,NY,13,Collegiate School,New York,NY,Keyboard Instruments,International Economics,2.57,2024,29,20,16,17,26,542,699,567,764,673,655,724,591,800,675,578,5
5112,normanfowler,VQA9zFp52lXcyIs4,NY,12,Horace Mann School,Bronx,NY,Applied Economics,"Fiber, Textile and Weaving Arts",2.99,2028,16,24,21,19,30,689,636,550,465,562,678,701,632,757,578,765,0
5111,george21,Qhr5qMuN,TX,2,St. Mark's School of Texas,Dallas,TX,Biotechnology,Drawing,3.49,2026,31,29,22,13,10,643,400,634,648,641,636,800,570,598,792,800,9
5110,jackmatthews,X0qYfR68HpMXlSzZH,CA,4,The College Preparatory School,Oakland,CA,"Aerospace, Aeronautical and Astronautical/Space Engineering","Administrative Assistant and Secretarial Science, General",3.25,2025,34,14,34,24,15,407,400,471,575,400,708,655,635,701,685,692,6
5109,dtrujillo,g23Rcp7oXAT5y,NM,114,Albuquerque Academy,Albuquerque,NM,"Fine Arts and Art Studies, Other",Accounting and Business/Management,3.01,2025,16,15,6,21,14,633,400,575,684,621,657,705,800,590,560,658,6
5108,phillipsanthony,lppbTjAn4k3139VMttcK,PA,188,Westtown School,West Chester,PA,International Economics,Junior High/Intermediate/Middle School Education and Teaching,2.93,2023,26,18,14,24,20,462,400,644,619,473,703,800,800,589,800,736,2
5107,xhampton,U5vqomK75XLVIDoOC,NY,42,Rye Country Day School,Rye,NY,Computational Mathematics,Epidemiology,3.21,2026,2,25,14,23,19,679,526,618,633,579,717,764,729,643,695,772,6
5106,melissa90,SKS1AsKoELfByWovh1H,CA,172,Pacific Ridge School,Carlsbad,CA,Consumer Economics,Culinary Science/Culinology,2.89,2023,21,23,11,26,22,400,517,540,542,647,672,773,760,556,800,800,0
5105,petersonemily,we3gUOpP7iiimGOGzAa,,134,Diocese of Brooklyn,,,Conservation Biology,Adult and Continuing Education and Teaching,2.61,2024,12,19,25,21,26,525,485,521,560,436,706,729,800,440,677,623,9
5104,arellanotyler,2hTSE1UTopowL6OfDqrj,MN,179,Mounds Park Academy,St. Paul,MN,American Sign Language (ASL),Bioethics/Medical Ethics,2.52,2025,22,21,25,21,22,576,400,671,527,592,582,688,585,648,622,540,9
5103,michaelgonzalez,Q88BmKogR,CA,93,Windward School,Los Angeles,CA,Agronomy and Crop Science,Bible/Biblical Studies,2.90,2028,17,24,21,13,22,460,532,400,627,725,726,800,639,739,749,531,8
5102,byoung,C9yzWspOQTlQc0Y,CA,82,The Thacher School,Ojai,CA,Biology Teacher Education,"Human Development and Family Studies, General",2.26,2023,26,24,17,17,10,435,621,594,495,570,533,738,722,745,791,695,5
5101,williamhamilton,e0WnqFE4mceXpLDphYOR,IL,185,North Shore Country Day School,Winnetka,IL,"Fine/Studio Arts, General","Atmospheric Sciences and Meteorology, General",3.44,2023,30,16,18,21,23,555,528,716,738,635,400,678,735,727,800,528,6
5100,greendaniel,3R4RRvpTSH9o1TI,CA,113,The Quarry Lane School,Dublin,CA,"Engineering Technology, General",Dental Hygiene/Hygienist,2.91,2027,13,22,24,25,15,473,458,800,681,524,663,634,561,798,540,724,0
5099,todd25,Kszc4OyTOQkm2CJl8,NJ,176,"The Academy for Mathematics, Science & Engineering",Rockaway,NJ,Farm/Farm and Ranch Management,"Mathematics, General",3.63,2026,24,19,25,19,22,620,780,647,754,549,689,800,800,625,607,732,10
5098,foxjames,TW1BHcivwenlVN,NY,137,Emma Willard School,Troy,NY,Geographic Information Science and Cartography,Environmental Design/Architecture,3.73,2026,22,13,22,18,21,400,400,548,626,618,510,640,569,646,579,584,0
5097,alexisthomas,gEloJygo7bQHFeq4a,NJ,20,The Pingry School,Basking Ridge,NJ,Kinesiology and Exercise Science,Foodservice Systems Administration/Management,3.65,2026,13,14,24,16,23,428,542,583,657,757,639,705,591,650,759,708,6
5096,boydangela,LtOExasGNPf0AyF7f8Uq,MA,174,Northfield Mount Hermon School,Mount Hermon,MA,"Educational Leadership and Administration, General",Keyboard Instruments,2.83,2027,25,22,25,25,23,451,668,580,628,705,525,683,633,545,683,572,10
5095,kevinsmith,w7iRLHzwqSXKIySBfBAn,CA,27,The Nueva School,Hillsborough,CA,Engineering Science,"Foreign Languages, Literatures, and Linguistics, Other",3.29,2027,18,28,18,25,31,419,520,622,427,715,800,682,617,800,794,800,3
5094,johnsonjerry,UvYHhBYR0kAoqOVLFMA,NY,43,The Chapin School,New York,NY,"Computer and Information Sciences and Support Services, Other",Information Science/Studies,3.59,2025,27,26,15,27,25,621,552,620,771,697,439,655,462,654,690,683,1
5093,georgeriley,t4LtFjscgFR,IL,62,University of Chicago Laboratory Schools,Chicago,IL,Comparative Literature,Diesel Mechanics Technology/Technician,3.24,2027,25,25,9,29,21,400,499,604,512,670,628,713,654,696,800,800,2
5092,fowlermadison,E0JiG9GcyicK,NY,137,Emma Willard School,Troy,NY,"Animation, Interactive Technology, Video Graphics and Special Effects",Industrial Technology/Technician,2.90,2023,22,21,22,21,23,668,474,688,638,634,627,730,645,659,675,648,3
5091,david22,s3AhlFWNjA2zMQP,NY,78,Staten Island Technical High School,Staten Island,NY,"Architectural History and Criticism, General",Educational Psychology,2.90,2026,22,20,21,11,22,464,508,496,741,630,632,683,602,679,760,707,9
5090,vmorton,42oB76Xak,MD,89,Holton-Arms School,Bethesda,MD,Commercial Photography,General Studies,2.98,2023,28,26,18,20,26,625,514,633,742,800,703,800,663,576,424,516,4
5089,yhill,h2I6dJAahVXZufy,NJ,176,"The Academy for Mathematics, Science & Engineering",Rockaway,NJ,Computational Biology,"Computer and Information Sciences and Support Services, Other",3.08,2027,13,15,25,23,24,571,400,643,524,691,502,620,716,608,590,800,9
5088,swest,w8RPzVtoo5moxWqNCasJ,CA,54,Head-Royce School,Oakland,CA,French Language Teacher Education,Agricultural Economics,3.11,2024,17,16,20,20,28,627,520,800,719,546,538,583,659,523,800,691,8
5087,marcfisher,e92Y7i6sg4T5mRFfO8DR,OH,169,Western Reserve Academy,Hudson,OH,"Apparel and Textiles, General",Drama and Dance Teacher Education,2.87,2028,18,24,23,26,13,537,449,566,400,592,571,698,506,732,689,601,0
5086,miguel20,6HMcnusZ,NY,42,Rye Country Day School,Rye,NY,"Electrical and Electronic Engineering Technologies/Technicians, Other","Business Administration, Management and Operations, Other",2.58,2024,12,23,26,26,14,546,550,542,651,650,561,800,596,791,781,636,10
5085,swolfe,rKpqvDfj3KAA16Xhks,NY,13,Collegiate School,New York,NY,"Computer and Information Sciences, General",Game and Interactive Media Design,2.93,2026,28,8,27,21,28,400,532,660,699,716,535,581,606,682,742,650,5
5084,jeffreyking,ET4eMmBo,NY,164,The Green Vale School,Glen Head,NY,"Arts, Entertainment, and Media Management, General",Cognitive Science,3.20,2026,20,31,18,22,30,453,653,781,572,749,783,692,545,596,531,571,0
5083,hfrazier,CumMGbXW3EQNHponq3,MA,23,Noble and Greenough School,Dedham,MA,Chemical and Biomolecular Engineering,"Architecture and Related Services, Other",2.41,2025,14,22,25,28,7,425,445,800,735,575,609,800,661,710,800,483,6
5082,scotttiffany,Ap47hGWteMph,FL,182,Berkeley Preparatory School,Tampa,FL,German Language Teacher Education,Gerontology,3.26,2023,22,20,20,21,21,556,400,778,546,800,574,796,400,518,556,786,4
5081,nmiller,Ra0GLVbJ5YUGoGH,CA,75,Westridge School,Pasadena,CA,Agricultural and Extension Education Services,"Family Resource Management Studies, General",2.85,2024,10,25,29,23,23,476,464,568,629,678,582,790,650,766,654,617,7
5080,paynekristopher,sx5S9Og96ZTXXQTi,NY,95,Packer Collegiate Institute,Brooklyn,NY,"Engineering Technology, General",Electrical and Electronics Engineering,2.73,2026,32,29,25,25,15,617,716,765,777,800,540,626,602,699,800,775,8
5079,john41,93iYzdPk5rK,TX,86,School for the Talented & Gifted,Dallas,TX,Liberal Arts and Sciences/Liberal Studies,"Computer Programming/Programmer, General",3.05,2026,19,19,16,25,24,469,560,800,725,630,761,750,726,508,690,531,5
5078,michael27,6TxmLW1yVB5,CA,19,Crystal Springs Uplands School,Hillsborough,CA,"Agricultural Business and Management, General",European Studies/Civilization,2.68,2024,12,22,26,28,22,505,400,589,604,709,795,692,621,800,590,570,9
5077,nrobinson,3M1XASuG9s3kKsTRdM,CA,16,Flintridge Preparatory School,La Canada Flintridge,CA,"Ethnic, Cultural Minority, Gender, and Group Studies, Other",Architectural Engineering,2.59,2023,12,24,36,29,20,517,586,713,717,644,777,743,657,587,708,535,6
5076,evansmith,3Xjlr2Y4nT9tsuQeW,VA,50,Maggie Walker Governor's School,Richmond,VA,"Applied Mathematics, Other",Geophysics and Seismology,2.94,2027,20,22,16,21,11,694,454,656,683,400,400,709,744,650,659,551,7
5075,haynescraig,4j3wWaDvHOt,IL,194,Jones College Prep High School,Chicago,IL,French Language Teacher Education,Engineering Physics/Applied Physics,3.58,2025,22,34,24,21,21,499,503,538,485,686,490,500,704,620,667,523,3
5074,jeffjones,vqUXlUN75l5W,NY,143,Avenues: The World School,New York,NY,Arabic Language and Literature,"Classics and Classical Languages, Literatures, and Linguistics, Other",2.69,2027,5,16,23,31,20,411,521,766,752,718,568,591,597,800,665,755,4
5073,elizabeth34,Ff5Qi9PHMG,CT,52,Eagle Hill School,Greenwich,CT,Film/Cinema/Video Studies,Computational and Applied Mathematics,3.80,2025,16,20,33,24,20,497,498,800,800,554,727,763,711,610,627,720,5
5072,nathanielsimon,5j7ZYTHl,DC,72,National Cathedral School,Washington,DC,Health Information/Medical Records Technology/Technician,International Public Health/International Health,2.42,2026,22,26,27,12,27,574,528,657,590,400,800,762,746,655,580,690,4
5071,corey90,D51QMd9r4,NY,135,Saint Ann's School,Brooklyn,NY,Education/Teaching of Individuals in Early Childhood Special Education Programs,Engineering Science,3.25,2025,9,21,18,19,22,400,400,716,710,492,666,723,742,682,490,684,0
5070,sharon65,4XmsPBV12BJHAeHO0Y,NY,37,Dalton School,New York,NY,Early Childhood Education and Teaching,Health Policy Analysis,3.09,2026,23,34,21,19,12,588,561,570,644,613,446,653,727,742,672,800,6
